"epoch","basic_gnn_aug - _step","basic_gnn_aug - _step__MIN","basic_gnn_aug - _step__MAX","basic_gnn_aug - train_displacement_distance_epoch","basic_gnn_aug - train_displacement_distance_epoch__MIN","basic_gnn_aug - train_displacement_distance_epoch__MAX","eq_gnn - _step","eq_gnn - _step__MIN","eq_gnn - _step__MAX","eq_gnn - train_displacement_distance_epoch","eq_gnn - train_displacement_distance_epoch__MIN","eq_gnn - train_displacement_distance_epoch__MAX","basic_gnn - _step","basic_gnn - _step__MIN","basic_gnn - _step__MAX","basic_gnn - train_displacement_distance_epoch","basic_gnn - train_displacement_distance_epoch__MIN","basic_gnn - train_displacement_distance_epoch__MAX"
"57","1159","1159","1159","0.06850703060626984","0.06850703060626984","0.06850703060626984","927","927","927","0.06579399853944778","0.06579399853944778","0.06579399853944778","1159","1159","1159","0.06514081358909607","0.06514081358909607","0.06514081358909607"
"58","1179","1179","1179","0.06840355694293976","0.06840355694293976","0.06840355694293976","943","943","943","0.06535898894071579","0.06535898894071579","0.06535898894071579","1179","1179","1179","0.06509435921907425","0.06509435921907425","0.06509435921907425"
"59","1199","1199","1199","0.06838861107826233","0.06838861107826233","0.06838861107826233","959","959","959","0.06578260660171509","0.06578260660171509","0.06578260660171509","1199","1199","1199","0.06430914998054504","0.06430914998054504","0.06430914998054504"
"60","1219","1219","1219","0.06748440861701965","0.06748440861701965","0.06748440861701965","975","975","975","0.06524278968572617","0.06524278968572617","0.06524278968572617","1219","1219","1219","0.06405078619718552","0.06405078619718552","0.06405078619718552"
"61","1239","1239","1239","0.06791587918996811","0.06791587918996811","0.06791587918996811","991","991","991","0.06508855521678925","0.06508855521678925","0.06508855521678925","1239","1239","1239","0.06375880539417267","0.06375880539417267","0.06375880539417267"
"62","1259","1259","1259","0.06852550804615021","0.06852550804615021","0.06852550804615021","1007","1007","1007","0.0650259405374527","0.0650259405374527","0.0650259405374527","1259","1259","1259","0.06442346423864365","0.06442346423864365","0.06442346423864365"
"63","1279","1279","1279","0.06880205869674683","0.06880205869674683","0.06880205869674683","1023","1023","1023","0.0660063847899437","0.0660063847899437","0.0660063847899437","1279","1279","1279","0.0639304518699646","0.0639304518699646","0.0639304518699646"
"64","1299","1299","1299","0.06768830865621567","0.06768830865621567","0.06768830865621567","1039","1039","1039","0.06549610942602158","0.06549610942602158","0.06549610942602158","1299","1299","1299","0.06454166769981384","0.06454166769981384","0.06454166769981384"
"65","1319","1319","1319","0.06808866560459137","0.06808866560459137","0.06808866560459137","1055","1055","1055","0.06490946561098099","0.06490946561098099","0.06490946561098099","1319","1319","1319","0.06474894285202026","0.06474894285202026","0.06474894285202026"
"66","1339","1339","1339","0.06816831231117249","0.06816831231117249","0.06816831231117249","1071","1071","1071","0.06485479325056076","0.06485479325056076","0.06485479325056076","1339","1339","1339","0.06405631452798843","0.06405631452798843","0.06405631452798843"
"67","1359","1359","1359","0.06742140650749207","0.06742140650749207","0.06742140650749207","1087","1087","1087","0.06655480712652206","0.06655480712652206","0.06655480712652206","1359","1359","1359","0.06319030374288559","0.06319030374288559","0.06319030374288559"
"68","1379","1379","1379","0.06778060644865036","0.06778060644865036","0.06778060644865036","1103","1103","1103","0.06541256606578827","0.06541256606578827","0.06541256606578827","1379","1379","1379","0.0629691332578659","0.0629691332578659","0.0629691332578659"
"69","1399","1399","1399","0.06748750805854797","0.06748750805854797","0.06748750805854797","1119","1119","1119","0.06524837762117386","0.06524837762117386","0.06524837762117386","1399","1399","1399","0.06351826339960098","0.06351826339960098","0.06351826339960098"
"70","1419","1419","1419","0.06716681271791458","0.06716681271791458","0.06716681271791458","1135","1135","1135","0.06450255960226059","0.06450255960226059","0.06450255960226059","1419","1419","1419","0.06271179765462875","0.06271179765462875","0.06271179765462875"
"71","1439","1439","1439","0.06713627278804779","0.06713627278804779","0.06713627278804779","1151","1151","1151","0.0649036094546318","0.0649036094546318","0.0649036094546318","1439","1439","1439","0.06285039335489273","0.06285039335489273","0.06285039335489273"
"72","1459","1459","1459","0.06729239970445633","0.06729239970445633","0.06729239970445633","1167","1167","1167","0.0645592138171196","0.0645592138171196","0.0645592138171196","1459","1459","1459","0.06232326850295067","0.06232326850295067","0.06232326850295067"
"73","1479","1479","1479","0.06835506856441498","0.06835506856441498","0.06835506856441498","1183","1183","1183","0.06383350491523743","0.06383350491523743","0.06383350491523743","1479","1479","1479","0.06257398426532745","0.06257398426532745","0.06257398426532745"
"74","1499","1499","1499","0.06839193403720856","0.06839193403720856","0.06839193403720856","1199","1199","1199","0.06366339325904846","0.06366339325904846","0.06366339325904846","1499","1499","1499","0.06323873996734619","0.06323873996734619","0.06323873996734619"
"75","1519","1519","1519","0.06802637130022049","0.06802637130022049","0.06802637130022049","1215","1215","1215","0.06377353519201279","0.06377353519201279","0.06377353519201279","1519","1519","1519","0.06339365988969803","0.06339365988969803","0.06339365988969803"
"76","1539","1539","1539","0.06832312047481537","0.06832312047481537","0.06832312047481537","1231","1231","1231","0.06371158361434937","0.06371158361434937","0.06371158361434937","1539","1539","1539","0.06253796070814133","0.06253796070814133","0.06253796070814133"
"77","1559","1559","1559","0.06730223447084427","0.06730223447084427","0.06730223447084427","1247","1247","1247","0.06344421207904816","0.06344421207904816","0.06344421207904816","1559","1559","1559","0.06285032629966736","0.06285032629966736","0.06285032629966736"
"78","1579","1579","1579","0.06687784940004349","0.06687784940004349","0.06687784940004349","1263","1263","1263","0.0635969340801239","0.0635969340801239","0.0635969340801239","1579","1579","1579","0.062131792306900024","0.062131792306900024","0.062131792306900024"
"79","1599","1599","1599","0.06778578460216522","0.06778578460216522","0.06778578460216522","1279","1279","1279","0.06358674168586731","0.06358674168586731","0.06358674168586731","1599","1599","1599","0.06161939725279808","0.06161939725279808","0.06161939725279808"
"80","1619","1619","1619","0.06693777441978455","0.06693777441978455","0.06693777441978455","1295","1295","1295","0.06352885812520981","0.06352885812520981","0.06352885812520981","1619","1619","1619","0.061965495347976685","0.061965495347976685","0.061965495347976685"
"81","1639","1639","1639","0.06751801073551178","0.06751801073551178","0.06751801073551178","1311","1311","1311","0.06352505832910538","0.06352505832910538","0.06352505832910538","1639","1639","1639","0.06181316077709198","0.06181316077709198","0.06181316077709198"
